ORI,AGENCY NAME,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT,BURGLARY,LARCENY,MTR VEHICLE THEFT,ARSON
OH02538,OHIO DEPT OF NATURAL RESOURCES,,,,,,,,,,,
OHOHP00,OHIO STATE HGHWAY PATROL,,280,209,3,42,6,229,3,157,49,4
,TOTAL,,280,209,3,42,6,229,3,157,49,4
,,,,,,,,,,,,
OH00102,PEEBLES,"1,746",3,3,,,,3,1,1,1,
OH00103,WEST UNION,"3,168",6,19,,,,6,1,13,5,
OH00106,SEAMAN,907,,9,,,,,4,3,2,
OH00107,WINCHESTER,"1,025",,9,,,,,2,6,1,
OH00100,ADAMS COUNTY SHERIFF,"21,026",13,178,2,4,1,6,71,94,13,
,ADAMS COUNTY TOTAL,"27,872",22,218,2,4,1,15,79,117,22,
,,,,,,,,,,,,
OH00204,LIMA,"37,220",275,"1,982",5,52,81,137,569,"1,334",79,20
OH00201,BLUFFTON,"3,987",1,46,,1,,,9,36,1,
OH00202,DELPHOS,"3,927",3,90,,3,,,17,72,1,
OH00205,SPENCERVILLE,"2,184",,14,,,,,5,9,,
OH00207,ELIDA,"1,836",1,4,,,,1,1,3,,
OH00211,SHAWNEE TOWNSHIP,"12,096",14,135,1,4,3,6,24,108,3,
OH00213,AMERICAN TOWNSHIP,"12,208",1,209,,,,1,15,183,11,
OH00216,MARION TOWNSHIP,"2,916",,1,,,,,,1,,
OH00200,ALLEN COUNTY SHERIFF,"23,798",30,659,,12,12,6,162,481,16,3
,ALLEN COUNTY TOTAL,"100,172",325,"3,140",6,72,96,151,802,"2,227",111,23
,,,,,,,,,,,,
OH00301,ASHLAND,"20,485",25,375,,7,4,14,44,326,5,
OH00302,LOUDONVILLE,"2,581",3,66,1,1,1,,6,59,1,1
OH00300,ASHLAND,"29,919",35,204,,20,,15,50,137,17,1
,ASHLAND COUNTY TOTAL,"52,985",63,645,1,28,5,29,100,522,23,2
,,,,,,,,,,,,
OH00405,GENEVA-ON-THE-LAKE,"1,199",7,33,,3,1,3,7,24,2,
OH00410,ROAMING SHORES VILLAGE,"1,466",,1,,,,,1,,,
OH00400,ASHTABULA COUNTY SHERIFF,"49,924",42,580,,8,4,30,170,366,44,1
,ASHTABULA COUNTY TOTAL,"52,589",49,614,,11,5,33,178,390,46,1
,,,,,,,,,,,,
OH00501,ATHENS,"25,526",34,433,,4,6,24,44,370,19,5
OH00502,GLOUSTER,"1,793",3,33,,1,,2,9,23,1,
OH00503,NELSONVILLE,"5,284",13,152,,2,4,7,32,114,6,
OH00504,ALBANY,899,,11,,,,,1,10,,
OH00510,OHIO UNIVERSITY,,9,102,,8,1,,13,86,3,
